Entity,Code,Year,share_employed_agri,gdp_per_capita,900793-annotations,population_historical,owid_region,time,time,time,time
Afghanistan,AFG,2019,42.5,2031.7373,,37856126,Asia,2019,2023,2019,2019
Albania,ALB,2019,36.41999817,11715.307,,2885012,Europe,2019,2023,2019,2019
Algeria,DZA,2019,9.600000381,14000.279,,43294550,Africa,2019,2023,2019,2019
Angola,AGO,2019,50.72999954,6886.954,,32375632,Africa,2019,2023,2019,2019
Argentina,ARG,2019,0.059999999,17912.637,,44973468,South America,2019,2023,2019,2019
Armenia,ARM,2019,24.04999924,12399.231,,2903975,Asia,2019,2023,2019,2019
Australia,AUS,2019,2.559999943,49814.67,,25482714,Oceania,2019,2023,2019,2019
Austria,AUT,2019,3.660000086,43488.668,,8880875,Europe,2019,2023,2019,2019
Azerbaijan,AZE,2019,36,17029.906,,10110486,Asia,2019,2023,2019,2019
Bahrain,BHR,2019,0.939999998,39499.707,,1485675,Asia,2019,2023,2019,2019
Bangladesh,BGD,2019,38.29999924,4242.7515,,164913060,Asia,2019,2023,2019,2019
Barbados,BRB,2019,2.650000095,12040.277,,281216,North America,2019,2023,2019,2019
Belarus,BLR,2019,11.06000042,19130.395,,9435414,Europe,2019,2023,2019,2019
Belgium,BEL,2019,0.920000017,41155.527,,11490622,Europe,2019,2023,2019,2019
Benin,BEN,2019,38.27000046,2276.1038,,12726761,Africa,2019,2023,2019,2019
Bolivia,BOL,2019,30.54000092,6730.809,,11671386,South America,2019,2023,2019,2019
Bosnia and Herzegovina,BIH,2019,17.95999908,11048.235,,3345534,Europe,2019,2023,2019,2019
Botswana,BWA,2019,19.89999962,15747.324,,2332081,Africa,2019,2023,2019,2019
Brazil,BRA,2019,9.079999924,14257.871,,207455459,South America,2019,2023,2019,2019
Bulgaria,BGR,2019,6.619999886,18840.764,,6975467,Europe,2019,2023,2019,2019
Burkina Faso,BFA,2019,26.20999908,1651.1173,,20961954,Africa,2019,2023,2019,2019
Burundi,BDI,2019,86.20999908,738.9831,,12255339,Africa,2019,2023,2019,2019
Cambodia,KHM,2019,34.52999878,3896.7979,,16481304,Asia,2019,2023,2019,2019
Cameroon,CMR,2019,43.49000168,2832.0767,,25506096,Africa,2019,2023,2019,2019
Canada,CAN,2019,1.50999999,45284.215,,37782931,North America,2019,2023,2019,2019
Cape Verde,CPV,2019,10.60000038,7297.2793,,514116,Africa,2019,2023,2019,2019
Central African Republic,CAF,2019,69.84999847,623.5598,,4944707,Africa,2019,2023,2019,2019
Chad,TCD,2019,75.05999756,1543.8029,,16685223,Africa,2019,2023,2019,2019
Chile,CHL,2019,8.979999542,21924.408,,19197747,South America,2019,2023,2019,2019
China,CHN,2019,25.32999992,16879.54,,1423520354,Asia,2019,2023,2019,2019
Colombia,COL,2019,15.77000046,13603.993,,49907987,South America,2019,2023,2019,2019
Comoros,COM,2019,34.38000107,1832.4357,,786583,Africa,2019,2023,2019,2019
Congo,COG,2019,33.52999878,4583.337,,5616656,Africa,2019,2023,2019,2019
Costa Rica,CRI,2019,11.97000027,14775.292,,4999551,North America,2019,2023,2019,2019
Cote d'Ivoire,CIV,2019,40.15000153,3703.0876,,28193014,Africa,2019,2023,2019,2019
Croatia,HRV,2019,6.190000057,23590.277,,3986338,Europe,2019,2023,2019,2019
Cuba,CUB,2019,17.39999962,8257.785,,11202847,North America,2019,2023,2019,2019
Cyprus,CYP,2019,2.410000086,30284.795,,1286669,Europe,2019,2023,2019,2019
Czechia,CZE,2019,2.660000086,32226.553,,10554871,Europe,2019,2023,2019,2019
Democratic Republic of Congo,COD,2019,64.30000305,806.479,,92947450,Africa,2019,2023,2019,2019
Denmark,DNK,2019,2.220000029,48238.656,,5814619,Europe,2019,2023,2019,2019
Djibouti,DJI,2019,24.54999924,3436.9502,,1088708,Africa,2019,2023,2019,2019
Dominican Republic,DOM,2019,8.779999733,16587.236,,10894043,North America,2019,2023,2019,2019
Ecuador,ECU,2019,29.73999977,10586.937,,17340017,South America,2019,2023,2019,2019
Egypt,EGY,2019,20.62000084,12300.201,,107553159,Africa,2019,2023,2019,2019
El Salvador,SLV,2019,16.29000092,8849.834,,6222316,North America,2019,2023,2019,2019
Equatorial Guinea,GNQ,2019,39.50999832,25006.34,,1670184,Africa,2019,2023,2019,2019
Estonia,EST,2019,3.170000076,28505.604,,1326821,Europe,2019,2023,2019,2019
Eswatini,SWZ,2019,12.14999962,8375.426,,1179885,Africa,2019,2023,2019,2019
Ethiopia,ETH,2019,66.62999725,2030.6775,,115737385,Africa,2019,2023,2019,2019
Finland,FIN,2019,3.779999971,39874.8,,5521755,Europe,2019,2023,2019,2019
France,FRA,2019,2.529999971,39084.656,,65729460,Europe,2019,2023,2019,2019
Gabon,GAB,2019,29.95999908,16449.715,,2267710,Africa,2019,2023,2019,2019
Gambia,GMB,2019,27.03000069,1952.326,,2456847,Africa,2019,2023,2019,2019
Georgia,GEO,2019,38.15000153,12631.664,,3796721,Asia,2019,2023,2019,2019
Germany,DEU,2019,1.210000038,46761.945,,83559185,Europe,2019,2023,2019,2019
Ghana,GHA,2019,29.75,4143.3774,,31258942,Africa,2019,2023,2019,2019
Greece,GRC,2019,11.60000038,23869.793,,10718580,Europe,2019,2023,2019,2019
Guatemala,GTM,2019,31.29999924,7565.846,,17103802,North America,2019,2023,2019,2019
Guinea,GIN,2019,60.65000153,1690.8837,,13034349,Africa,2019,2023,2019,2019
Guinea-Bissau,GNB,2019,60.47999954,1543.4176,,1967704,Africa,2019,2023,2019,2019
Haiti,HTI,2019,29.03000069,1719.4462,,11105164,North America,2019,2023,2019,2019
Honduras,HND,2019,29.48999977,5099.8145,,9943637,North America,2019,2023,2019,2019
Hong Kong,HKG,2019,0.170000002,49631.062,,7485816,Asia,2019,2023,2019,2019
Hungary,HUN,2019,4.71999979,27272.312,,9770346,Europe,2019,2023,2019,2019
Iceland,ISL,2019,4.039999962,43136.605,,360709,Europe,2019,2023,2019,2019
India,IND,2019,42.59999847,7293.9897,,1389030303,Asia,2019,2023,2019,2019
Indonesia,IDN,2019,28.5,12250.278,,272489379,Asia,2019,2023,2019,2019
Iran,IRN,2019,17.37000084,17400.414,,87051647,Asia,2019,2023,2019,2019
Iraq,IRQ,2019,18.27000046,14203.617,,41192172,Asia,2019,2023,2019,2019
Ireland,IRL,2019,4.429999828,59733.91,,4933491,Europe,2019,2023,2019,2019
Israel,ISR,2019,0.920000017,33951.89,,8657466,Asia,2019,2023,2019,2019
Italy,ITA,2019,3.890000105,35407.242,,60130136,Europe,2019,2023,2019,2019
Jamaica,JAM,2019,15.22000027,7641.0815,,2823275,North America,2019,2023,2019,2019
Japan,JPN,2019,3.380000114,38332.934,,126699422,Asia,2019,2023,2019,2019
Jordan,JOR,2019,2.470000029,9166.066,,10671892,Asia,2019,2023,2019,2019
Kazakhstan,KAZ,2019,14.85999966,26026.064,,19209556,Asia,2019,2023,2019,2019
Kenya,KEN,2019,54.34000015,3207.2622,,51202829,Africa,2019,2023,2019,2019
Kuwait,KWT,2019,1.779999971,73748.44,,4442202,Asia,2019,2023,2019,2019
Kyrgyzstan,KGZ,2019,19.31999969,5412.708,,6494036,Asia,2019,2023,2019,2019
Laos,LAO,2019,61.43999863,6706.0063,,7237634,Asia,2019,2023,2019,2019
Latvia,LVA,2019,7.289999962,25858.602,,1914267,Europe,2019,2023,2019,2019
Lebanon,LBN,2019,11.31999969,12854.797,,5794600,Asia,2019,2023,2019,2019
Lesotho,LSO,2019,44.29999924,2514.2244,,2209414,Africa,2019,2023,2019,2019
Liberia,LBR,2019,42.61999893,807.3494,,5043720,Africa,2019,2023,2019,2019
Libya,LBY,2019,16.40999985,16971.502,,6951038,Africa,2019,2023,2019,2019
Lithuania,LTU,2019,6.440000057,28986.053,,2795057,Europe,2019,2023,2019,2019
Luxembourg,LUX,2019,0.680000007,54751.6,,620166,Europe,2019,2023,2019,2019
Madagascar,MDG,2019,64.12000275,1434.2703,,28219558,Africa,2019,2023,2019,2019
Malawi,MWI,2019,76.36000061,1205.477,,19025748,Africa,2019,2023,2019,2019
Malaysia,MYS,2019,10.27999973,25986.412,,33440588,Asia,2019,2023,2019,2019
Mali,MLI,2019,62.43999863,1706.0105,,21068406,Africa,2019,2023,2019,2019
Malta,MLT,2019,1.019999981,33220.285,,504017,Europe,2019,2023,2019,2019
Mauritania,MRT,2019,30.82999992,3659.103,,4467714,Africa,2019,2023,2019,2019
Mauritius,MUS,2019,5.96999979,21624.842,,1286269,Africa,2019,2023,2019,2019
Mexico,MEX,2019,12.47999954,16802.014,,125762977,North America,2019,2023,2019,2019
Moldova,MDA,2019,20.95999908,7078.23,,3112563,Europe,2019,2023,2019,2019
Mongolia,MNG,2019,25.31999969,13871.33,,3232119,Asia,2019,2023,2019,2019
Montenegro,MNE,2019,7.150000095,20448.549,,611673,Europe,2019,2023,2019,2019
Morocco,MAR,2019,33.25,8540.804,,36210907,Africa,2019,2023,2019,2019
Mozambique,MOZ,2019,70.22000122,1118.6304,,29884376,Africa,2019,2023,2019,2019
Myanmar,MMR,2019,48.84999847,6140.885,,52640718,Asia,2019,2023,2019,2019
Namibia,NAM,2019,21.85000038,8567.793,,2650500,Africa,2019,2023,2019,2019
Nepal,NPL,2019,64.37999725,2953.5603,,28414066,Asia,2019,2023,2019,2019
Netherlands,NLD,2019,2.079999924,48142.67,,17537506,Europe,2019,2023,2019,2019
New Zealand,NZL,2019,5.840000153,36912.074,,4989412,Oceania,2019,2023,2019,2019
Nicaragua,NIC,2019,30.60000038,4721.7275,,6483660,North America,2019,2023,2019,2019
Niger,NER,2019,72.54000092,964.32434,,22947765,Africa,2019,2023,2019,2019
Nigeria,NGA,2019,34.97000122,5197.0825,,209485636,Africa,2019,2023,2019,2019
North Korea,PRK,2019,43.81999969,1666.8143,,26037633,Asia,2019,2023,2019,2019
North Macedonia,MKD,2019,13.92000008,13751.228,,1897643,Europe,2019,2023,2019,2019
Norway,NOR,2019,2.039999962,85115.32,,5347735,Europe,2019,2023,2019,2019
Oman,OMN,2019,3.99000001,48596.527,,4591247,Asia,2019,2023,2019,2019
Pakistan,PAK,2019,36.91999817,5219.534,,230800909,Asia,2019,2023,2019,2019
Palestine,PSE,2019,6.050000191,5176.9795,,4957774,Asia,2019,2023,2019,2019
Panama,PAN,2019,14.40999985,23218.432,,4234699,North America,2019,2023,2019,2019
Paraguay,PRY,2019,18.71999931,8776.076,,6515060,South America,2019,2023,2019,2019
Peru,PER,2019,27.37000084,12680.354,,32449301,South America,2019,2023,2019,2019
Philippines,PHL,2019,22.86000061,8602.1455,,110804685,Asia,2019,2023,2019,2019
Poland,POL,2019,9.149999619,29142.023,,38225884,Europe,2019,2023,2019,2019
Portugal,PRT,2019,5.5,28056.057,,10343218,Europe,2019,2023,2019,2019
Puerto Rico,PRI,2019,1.090000033,35041.33,,3288026,North America,2019,2023,2019,2019
Qatar,QAT,2019,1.169999957,150732.22,,2797927,Asia,2019,2023,2019,2019
Romania,ROU,2019,21.23999977,23267.516,,19501543,Europe,2019,2023,2019,2019
Russia,RUS,2019,5.829999924,25244.12,,146533063,Europe,2019,2023,2019,2019
Rwanda,RWA,2019,62.29000092,2042.8529,,12776104,Africa,2019,2023,2019,2019
Saint Lucia,LCA,2019,9.970000267,10977.819,,177674,North America,2019,2023,2019,2019
Sao Tome and Principe,STP,2019,19.13999939,3781.2275,,213404,Africa,2019,2023,2019,2019
Saudi Arabia,SAU,2019,2.410000086,50123.336,,30472810,Asia,2019,2023,2019,2019
Senegal,SEN,2019,30.10000038,2559.8176,,16352926,Africa,2019,2023,2019,2019
Serbia,SRB,2019,15.60999966,15293.246,,6966154,Europe,2019,2023,2019,2019
Sierra Leone,SLE,2019,54.49000168,1707.3713,,7731995,Africa,2019,2023,2019,2019
Singapore,SGP,2019,0.029999999,74649.734,,5669562,Asia,2019,2023,2019,2019
Slovakia,SVK,2019,2.789999962,27429.225,,5450626,Europe,2019,2023,2019,2019
Slovenia,SVN,2019,4.28000021,30229.299,,2083436,Europe,2019,2023,2019,2019
South Africa,ZAF,2019,5.28000021,11739.936,,59587880,Africa,2019,2023,2019,2019
South Korea,KOR,2019,5.139999866,38935.992,,51767843,Asia,2019,2023,2019,2019
Spain,ESP,2019,4.03000021,34957.465,,47435120,Europe,2019,2023,2019,2019
Sri Lanka,LKA,2019,24.97999954,11939.55,,22410552,Asia,2019,2023,2019,2019
Sweden,SWE,2019,1.690000057,45434.402,,10279122,Europe,2019,2023,2019,2019
Switzerland,CHE,2019,2.589999914,62448.598,,8577526,Europe,2019,2023,2019,2019
Syria,SYR,2019,10.13000011,3385.4192,,20353536,Asia,2019,2023,2019,2019
Tajikistan,TJK,2019,44.72000122,4695.543,,9529971,Asia,2019,2023,2019,2019
Tanzania,TZA,2019,65.08999634,2894.6472,,59174889,Africa,2019,2023,2019,2019
Thailand,THA,2019,31.43000031,16905.293,,71522265,Asia,2019,2023,2019,2019
Togo,TGO,2019,32.38000107,1501.8667,,8463068,Africa,2019,2023,2019,2019
Trinidad and Tobago,TTO,2019,3.029999971,27582.568,,1484898,North America,2019,2023,2019,2019
Tunisia,TUN,2019,13.80000019,11451.897,,11875085,Africa,2019,2023,2019,2019
Turkey,TUR,2019,18.11000061,23497.504,,85357671,Asia,2019,2023,2019,2019
Turkmenistan,TKM,2019,20.68000031,17264.172,,6803942,Asia,2019,2023,2019,2019
Uganda,UGA,2019,72.12999725,2128.9087,,42999636,Africa,2019,2023,2019,2019
Ukraine,UKR,2019,13.81999969,10139.761,,44957450,Europe,2019,2023,2019,2019
United Arab Emirates,ARE,2019,1.389999986,74396.14,,9377855,Asia,2019,2023,2019,2019
United Kingdom,GBR,2019,1.049999952,39113.01,,67110958,Europe,2019,2023,2019,2019
United States,USA,2019,1.360000014,56469.26,,337790068,North America,2019,2023,2019,2019
Uruguay,URY,2019,8.409999847,19714.148,,3397205,South America,2019,2023,2019,2019
Uzbekistan,UZB,2019,25.70999908,11219.243,,32964702,Asia,2019,2023,2019,2019
Venezuela,VEN,2019,7.860000134,7061.7617,,28938095,South America,2019,2023,2019,2019
Vietnam,VNM,2019,37.22000122,7266.0483,,97173778,Asia,2019,2023,2019,2019
Yemen,YEM,2019,27.54999924,2265.343,,35111417,Asia,2019,2023,2019,2019
Zambia,ZMB,2019,49.63999939,3466.2363,,18513841,Africa,2019,2023,2019,2019
Zimbabwe,ZWE,2019,66.19000244,1753.0244,,15271377,Africa,2019,2023,2019,2019