Entity,Code,Year,birth_rate__sex_all__age_all__variant_estimates,time
Afghanistan,AFG,2019,37.138,2019
Albania,ALB,2019,10.757,2019
Algeria,DZA,2019,23.379,2019
Andorra,AND,2019,6.993,2019
Angola,AGO,2019,39.539,2019
Antigua and Barbuda,ATG,2019,11.5,2019
Argentina,ARG,2019,13.902,2019
Armenia,ARM,2019,12.331,2019
Australia,AUS,2019,11.981,2019
Austria,AUT,2019,9.542,2019
Azerbaijan,AZE,2019,15.168,2019
Bahamas,BHS,2019,11.195,2019
Bahrain,BHR,2019,13.318,2019
Bangladesh,BGD,2019,20.131,2019
Barbados,BRB,2019,11.446,2019
Belarus,BLR,2019,9.29,2019
Belgium,BEL,2019,10.217,2019
Belize,BLZ,2019,19.335,2019
Benin,BEN,2019,36.036,2019
Bhutan,BTN,2019,12.421,2019
Bolivia,BOL,2019,22.257,2019
Bosnia and Herzegovina,BIH,2019,8.561,2019
Botswana,BWA,2019,25.751,2019
Brazil,BRA,2019,13.548,2019
Brunei,BRN,2019,14.572,2019
Bulgaria,BGR,2019,8.817,2019
Burkina Faso,BFA,2019,34.325,2019
Burundi,BDI,2019,36.579,2019
Cambodia,KHM,2019,22.988,2019
Cameroon,CMR,2019,36.183,2019
Canada,CAN,2019,9.855,2019
Cape Verde,CPV,2019,14.288,2019
Central African Republic,CAF,2019,44.108,2019
Chad,TCD,2019,44.316,2019
Chile,CHL,2019,10.94,2019
China,CHN,2019,10.267,2019
Colombia,COL,2019,14.218,2019
Comoros,COM,2019,30.447,2019
Congo,COG,2019,32.183,2019
Costa Rica,CRI,2019,12.661,2019
Cote d'Ivoire,CIV,2019,34.306,2019
Croatia,HRV,2019,8.529,2019
Cuba,CUB,2019,9.668,2019
Cyprus,CYP,2019,11.014,2019
Czechia,CZE,2019,10.614,2019
Democratic Republic of Congo,COD,2019,42.549,2019
Denmark,DNK,2019,10.502,2019
Djibouti,DJI,2019,21.913,2019
Dominica,DMA,2019,11.512,2019
Dominican Republic,DOM,2019,19.43,2019
East Timor,TLS,2019,23.855,2019
Ecuador,ECU,2019,16.924,2019
Egypt,EGY,2019,22.267,2019
El Salvador,SLV,2019,16.57,2019
Equatorial Guinea,GNQ,2019,31.783,2019
Eritrea,ERI,2019,29.119,2019
Estonia,EST,2019,10.611,2019
Eswatini,SWZ,2019,25.889,2019
Ethiopia,ETH,2019,33.549,2019
Fiji,FJI,2019,19.226,2019
Finland,FIN,2019,8.258,2019
France,FRA,2019,10.826,2019
French Guiana,GUF,2019,27.961,2019
Gabon,GAB,2019,30.146,2019
Gambia,GMB,2019,31.921,2019
Georgia,GEO,2019,13.588,2019
Germany,DEU,2019,9.32,2019
Ghana,GHA,2019,27.891,2019
Greece,GRC,2019,7.798,2019
Greenland,GRL,2019,14.813,2019
Grenada,GRD,2019,12.466,2019
Guatemala,GTM,2019,23.089,2019
Guinea,GIN,2019,35.952,2019
Guinea-Bissau,GNB,2019,31.848,2019
Guyana,GUY,2019,21.945,2019
Haiti,HTI,2019,23.774,2019
Honduras,HND,2019,23.111,2019
Hungary,HUN,2019,9.342,2019
Iceland,ISL,2019,12.207,2019
India,IND,2019,17.368,2019
Indonesia,IDN,2019,16.909,2019
Iran,IRN,2019,14.918,2019
Iraq,IRQ,2019,27.252,2019
Ireland,IRL,2019,11.989,2019
Israel,ISR,2019,20.187,2019
Italy,ITA,2019,6.978,2019
Jamaica,JAM,2019,12.169,2019
Japan,JPN,2019,6.825,2019
Jordan,JOR,2019,22.236,2019
Kazakhstan,KAZ,2019,21.424,2019
Kenya,KEN,2019,28.226,2019
Kiribati,KIR,2019,27.826,2019
Kosovo,OWID_KOS,2019,12.618,2019
Kuwait,KWT,2019,11.957,2019
Kyrgyzstan,KGZ,2019,26.579,2019
Laos,LAO,2019,23.151,2019
Latvia,LVA,2019,9.866,2019
Lebanon,LBN,2019,17.622,2019
Lesotho,LSO,2019,26.44,2019
Liberia,LBR,2019,32.431,2019
Libya,LBY,2019,19.241,2019
Liechtenstein,LIE,2019,9.12,2019
Lithuania,LTU,2019,9.843,2019
Luxembourg,LUX,2019,9.898,2019
Madagascar,MDG,2019,33.594,2019
Malawi,MWI,2019,32.902,2019
Malaysia,MYS,2019,14.233,2019
Maldives,MDV,2019,12.597,2019
Mali,MLI,2019,41.139,2019
Malta,MLT,2019,8.415,2019
Marshall Islands,MHL,2019,23.736,2019
Mauritania,MRT,2019,36.211,2019
Mauritius,MUS,2019,10.118,2019
Mexico,MEX,2019,16.877,2019
Micronesia (country),FSM,2019,22.891,2019
Moldova,MDA,2019,12.637,2019
Monaco,MCO,2019,9.965,2019
Mongolia,MNG,2019,23.551,2019
Montenegro,MNE,2019,11.803,2019
Morocco,MAR,2019,18.258,2019
Mozambique,MOZ,2019,39.117,2019
Myanmar,MMR,2019,17.774,2019
Namibia,NAM,2019,28.386,2019
Nauru,NRU,2019,29.581,2019
Nepal,NPL,2019,20.648,2019
Netherlands,NLD,2019,9.769,2019
New Caledonia,NCL,2019,15.183,2019
New Zealand,NZL,2019,11.79,2019
Nicaragua,NIC,2019,20.808,2019
Niger,NER,2019,43.366,2019
Nigeria,NGA,2019,34.685,2019
North Korea,PRK,2019,13.405,2019
North Macedonia,MKD,2019,11.044,2019
Norway,NOR,2019,10.146,2019
Oman,OMN,2019,18.858,2019
Pakistan,PAK,2019,28.986,2019
Palau,PLW,2019,11.921,2019
Palestine,PSE,2019,29.708,2019
Panama,PAN,2019,17.57,2019
Papua New Guinea,PNG,2019,26.466,2019
Paraguay,PRY,2019,21.421,2019
Peru,PER,2019,16.853,2019
Philippines,PHL,2019,18.104,2019
Poland,POL,2019,9.999,2019
Portugal,PRT,2019,8.242,2019
Puerto Rico,PRI,2019,5.924,2019
Qatar,QAT,2019,9.979,2019
Romania,ROU,2019,10.083,2019
Russia,RUS,2019,10.209,2019
Rwanda,RWA,2019,30.672,2019
Saint Kitts and Nevis,KNA,2019,12.86,2019
Saint Lucia,LCA,2019,11.853,2019
Saint Vincent and the Grenadines,VCT,2019,13.26,2019
Samoa,WSM,2019,27.957,2019
San Marino,SMR,2019,6.132,2019
Sao Tome and Principe,STP,2019,29.229,2019
Saudi Arabia,SAU,2019,18.075,2019
Senegal,SEN,2019,30.405,2019
Serbia,SRB,2019,9.345,2019
Seychelles,SYC,2019,15.27,2019
Sierra Leone,SLE,2019,32.808,2019
Singapore,SGP,2019,8.374,2019
Slovakia,SVK,2019,10.473,2019
Slovenia,SVN,2019,9.235,2019
Solomon Islands,SLB,2019,28.413,2019
Somalia,SOM,2019,45.139,2019
South Africa,ZAF,2019,19.694,2019
South Korea,KOR,2019,5.704,2019
South Sudan,SSD,2019,29.421,2019
Spain,ESP,2019,7.537,2019
Sri Lanka,LKA,2019,14.92,2019
Sudan,SDN,2019,34.909,2019
Suriname,SUR,2019,17.869,2019
Sweden,SWE,2019,11.058,2019
Switzerland,CHE,2019,9.955,2019
Syria,SYR,2019,19.717,2019
Taiwan,TWN,2019,7.341,2019
Tajikistan,TJK,2019,29.168,2019
Tanzania,TZA,2019,36.883,2019
Thailand,THA,2019,9.056,2019
Togo,TGO,2019,32.925,2019
Tonga,TON,2019,23.849,2019
Trinidad and Tobago,TTO,2019,12.088,2019
Tunisia,TUN,2019,16.82,2019
Turkey,TUR,2019,15.095,2019
Turkmenistan,TKM,2019,24.839,2019
Tuvalu,TUV,2019,24.867,2019
Uganda,UGA,2019,37.212,2019
Ukraine,UKR,2019,7.823,2019
United Arab Emirates,ARE,2019,10.094,2019
United Kingdom,GBR,2019,10.645,2019
United States,USA,2019,11.169,2019
Uruguay,URY,2019,10.894,2019
Uzbekistan,UZB,2019,24.722,2019
Vanuatu,VUT,2019,30.717,2019
Venezuela,VEN,2019,16.299,2019
Vietnam,VNM,2019,15.513,2019
Western Sahara,ESH,2019,17.288,2019
Yemen,YEM,2019,35.947,2019
Zambia,ZMB,2019,35.006,2019
Zimbabwe,ZWE,2019,31.121,2019