Entity,Code,Year,share_employed_agri,time
Afghanistan,AFG,2019,42.5,2019
Albania,ALB,2019,36.41999817,2019
Algeria,DZA,2019,9.600000381,2019
Angola,AGO,2019,50.72999954,2019
Argentina,ARG,2019,0.059999999,2019
Armenia,ARM,2019,24.04999924,2019
Australia,AUS,2019,2.559999943,2019
Austria,AUT,2019,3.660000086,2019
Azerbaijan,AZE,2019,36,2019
Bahamas,BHS,2019,2.200000048,2019
Bahrain,BHR,2019,0.939999998,2019
Bangladesh,BGD,2019,38.29999924,2019
Barbados,BRB,2019,2.650000095,2019
Belarus,BLR,2019,11.06000042,2019
Belgium,BEL,2019,0.920000017,2019
Belize,BLZ,2019,16.79999924,2019
Benin,BEN,2019,38.27000046,2019
Bhutan,BTN,2019,55.77999878,2019
Bolivia,BOL,2019,30.54000092,2019
Bosnia and Herzegovina,BIH,2019,17.95999908,2019
Botswana,BWA,2019,19.89999962,2019
Brazil,BRA,2019,9.079999924,2019
Brunei,BRN,2019,1.950000048,2019
Bulgaria,BGR,2019,6.619999886,2019
Burkina Faso,BFA,2019,26.20999908,2019
Burundi,BDI,2019,86.20999908,2019
Cambodia,KHM,2019,34.52999878,2019
Cameroon,CMR,2019,43.49000168,2019
Canada,CAN,2019,1.50999999,2019
Cape Verde,CPV,2019,10.60000038,2019
Central African Republic,CAF,2019,69.84999847,2019
Chad,TCD,2019,75.05999756,2019
Chile,CHL,2019,8.979999542,2019
China,CHN,2019,25.32999992,2019
Colombia,COL,2019,15.77000046,2019
Comoros,COM,2019,34.38000107,2019
Congo,COG,2019,33.52999878,2019
Costa Rica,CRI,2019,11.97000027,2019
Cote d'Ivoire,CIV,2019,40.15000153,2019
Croatia,HRV,2019,6.190000057,2019
Cuba,CUB,2019,17.39999962,2019
Cyprus,CYP,2019,2.410000086,2019
Czechia,CZE,2019,2.660000086,2019
Democratic Republic of Congo,COD,2019,64.30000305,2019
Denmark,DNK,2019,2.220000029,2019
Djibouti,DJI,2019,24.54999924,2019
Dominican Republic,DOM,2019,8.779999733,2019
East Timor,TLS,2019,39.27999878,2019
Ecuador,ECU,2019,29.73999977,2019
Egypt,EGY,2019,20.62000084,2019
El Salvador,SLV,2019,16.29000092,2019
Equatorial Guinea,GNQ,2019,39.50999832,2019
Eritrea,ERI,2019,63.11999893,2019
Estonia,EST,2019,3.170000076,2019
Eswatini,SWZ,2019,12.14999962,2019
Ethiopia,ETH,2019,66.62999725,2019
Fiji,FJI,2019,17.61000061,2019
Finland,FIN,2019,3.779999971,2019
France,FRA,2019,2.529999971,2019
Gabon,GAB,2019,29.95999908,2019
Gambia,GMB,2019,27.03000069,2019
Georgia,GEO,2019,38.15000153,2019
Germany,DEU,2019,1.210000038,2019
Ghana,GHA,2019,29.75,2019
Greece,GRC,2019,11.60000038,2019
Guatemala,GTM,2019,31.29999924,2019
Guinea,GIN,2019,60.65000153,2019
Guinea-Bissau,GNB,2019,60.47999954,2019
Guyana,GUY,2019,15.43999958,2019
Haiti,HTI,2019,29.03000069,2019
Honduras,HND,2019,29.48999977,2019
Hungary,HUN,2019,4.71999979,2019
Iceland,ISL,2019,4.039999962,2019
India,IND,2019,42.59999847,2019
Indonesia,IDN,2019,28.5,2019
Iran,IRN,2019,17.37000084,2019
Iraq,IRQ,2019,18.27000046,2019
Ireland,IRL,2019,4.429999828,2019
Israel,ISR,2019,0.920000017,2019
Italy,ITA,2019,3.890000105,2019
Jamaica,JAM,2019,15.22000027,2019
Japan,JPN,2019,3.380000114,2019
Jordan,JOR,2019,2.470000029,2019
Kazakhstan,KAZ,2019,14.85999966,2019
Kenya,KEN,2019,54.34000015,2019
Kuwait,KWT,2019,1.779999971,2019
Kyrgyzstan,KGZ,2019,19.31999969,2019
Laos,LAO,2019,61.43999863,2019
Latvia,LVA,2019,7.289999962,2019
Lebanon,LBN,2019,11.31999969,2019
Lesotho,LSO,2019,44.29999924,2019
Liberia,LBR,2019,42.61999893,2019
Libya,LBY,2019,16.40999985,2019
Lithuania,LTU,2019,6.440000057,2019
Luxembourg,LUX,2019,0.680000007,2019
Madagascar,MDG,2019,64.12000275,2019
Malawi,MWI,2019,76.36000061,2019
Malaysia,MYS,2019,10.27999973,2019
Maldives,MDV,2019,8.319999695,2019
Mali,MLI,2019,62.43999863,2019
Malta,MLT,2019,1.019999981,2019
Mauritania,MRT,2019,30.82999992,2019
Mauritius,MUS,2019,5.96999979,2019
Mexico,MEX,2019,12.47999954,2019
Moldova,MDA,2019,20.95999908,2019
Mongolia,MNG,2019,25.31999969,2019
Montenegro,MNE,2019,7.150000095,2019
Morocco,MAR,2019,33.25,2019
Mozambique,MOZ,2019,70.22000122,2019
Myanmar,MMR,2019,48.84999847,2019
Namibia,NAM,2019,21.85000038,2019
Nepal,NPL,2019,64.37999725,2019
Netherlands,NLD,2019,2.079999924,2019
New Caledonia,NCL,2019,1.870000005,2019
New Zealand,NZL,2019,5.840000153,2019
Nicaragua,NIC,2019,30.60000038,2019
Niger,NER,2019,72.54000092,2019
Nigeria,NGA,2019,34.97000122,2019
North Korea,PRK,2019,43.81999969,2019
North Macedonia,MKD,2019,13.92000008,2019
Norway,NOR,2019,2.039999962,2019
Oman,OMN,2019,3.99000001,2019
Pakistan,PAK,2019,36.91999817,2019
Palestine,PSE,2019,6.050000191,2019
Panama,PAN,2019,14.40999985,2019
Papua New Guinea,PNG,2019,56.15000153,2019
Paraguay,PRY,2019,18.71999931,2019
Peru,PER,2019,27.37000084,2019
Philippines,PHL,2019,22.86000061,2019
Poland,POL,2019,9.149999619,2019
Portugal,PRT,2019,5.5,2019
Puerto Rico,PRI,2019,1.090000033,2019
Qatar,QAT,2019,1.169999957,2019
Romania,ROU,2019,21.23999977,2019
Russia,RUS,2019,5.829999924,2019
Rwanda,RWA,2019,62.29000092,2019
Saint Lucia,LCA,2019,9.970000267,2019
Saint Vincent and the Grenadines,VCT,2019,10.07999992,2019
Samoa,WSM,2019,30.20999908,2019
Sao Tome and Principe,STP,2019,19.13999939,2019
Saudi Arabia,SAU,2019,2.410000086,2019
Senegal,SEN,2019,30.10000038,2019
Serbia,SRB,2019,15.60999966,2019
Sierra Leone,SLE,2019,54.49000168,2019
Singapore,SGP,2019,0.029999999,2019
Slovakia,SVK,2019,2.789999962,2019
Slovenia,SVN,2019,4.28000021,2019
Solomon Islands,SLB,2019,37.25999832,2019
Somalia,SOM,2019,80.27999878,2019
South Africa,ZAF,2019,5.28000021,2019
South Korea,KOR,2019,5.139999866,2019
South Sudan,SSD,2019,60.38000107,2019
Spain,ESP,2019,4.03000021,2019
Sri Lanka,LKA,2019,24.97999954,2019
Sudan,SDN,2019,38.36999893,2019
Suriname,SUR,2019,8.079999924,2019
Sweden,SWE,2019,1.690000057,2019
Switzerland,CHE,2019,2.589999914,2019
Syria,SYR,2019,10.13000011,2019
Tajikistan,TJK,2019,44.72000122,2019
Tanzania,TZA,2019,65.08999634,2019
Thailand,THA,2019,31.43000031,2019
Togo,TGO,2019,32.38000107,2019
Tonga,TON,2019,19.37000084,2019
Trinidad and Tobago,TTO,2019,3.029999971,2019
Tunisia,TUN,2019,13.80000019,2019
Turkey,TUR,2019,18.11000061,2019
Turkmenistan,TKM,2019,20.68000031,2019
Uganda,UGA,2019,72.12999725,2019
Ukraine,UKR,2019,13.81999969,2019
United Arab Emirates,ARE,2019,1.389999986,2019
United Kingdom,GBR,2019,1.049999952,2019
United States,USA,2019,1.360000014,2019
Uruguay,URY,2019,8.409999847,2019
Uzbekistan,UZB,2019,25.70999908,2019
Vanuatu,VUT,2019,56.77999878,2019
Venezuela,VEN,2019,7.860000134,2019
Vietnam,VNM,2019,37.22000122,2019
Yemen,YEM,2019,27.54999924,2019
Zambia,ZMB,2019,49.63999939,2019
Zimbabwe,ZWE,2019,66.19000244,2019